Transaction ID,Financial Institution,Payment Type,Amount,Currency,Vendor,Tags,Date
639716,Chase,Credit Card,155.79,usd,BOSE,office,2012-01-01T13:08:14Z
521225,Wells Fargo,Credit Card,375.46,usd,CB2,furniture,2012-01-01T06:15:02Z
674906,Chase,Debit Card,874.79,usd,AMAZON.COM,office,2012-01-01T11:05:15Z
631449,SVB,Debit Card,457.24,usd,CB2,furniture,2012-01-01T10:13:46Z
795357,SVB,Debit Card,34.27,usd,EXTREME PIZZA,food personal,2012-01-01T13:08:16Z
600574,Wells Fargo,Debit Card,73.5,usd,BLOODHOUND,drink personal,2012-01-01T00:29:41Z
793192,Wells Fargo,Credit Card,28.1,usd,BACKCOUNTRY.COM,clothing personal,2012-01-01T09:22:34Z
297889,SVB,Wire Transfer,7280.07,usd,VACLAV DESIGN SERVICES,contractor,2012-01-01T02:23:49Z
505512,Wells Fargo,Credit Card,78.87,usd,IRISH BANK,drink personal,2012-01-01T20:52:27Z
972519,Chase,Credit Card,215.65,usd,REI,clothing personal,2012-01-01T12:31:23Z
69511,Chase,Credit Card,392.07,usd,AMAZON.COM,office,2012-01-01T04:22:23Z
257900,Chase,Credit Card,206.03,usd,REI,clothing personal,2012-01-01T17:15:25Z
278358,Wells Fargo,Credit Card,25.4,usd,BRAINWASH,food personal,2012-01-01T15:58:00Z
541410,Wells Fargo,Credit Card,164.41,usd,BOSE,office,2012-01-01T02:50:13Z
959170,Chase,Credit Card,25.64,usd,BRAINWASH,food personal,2012-01-01T12:46:58Z
970860,Wells Fargo,Debit Card,1088.04,usd,CRATE AND BARREL,furniture,2012-01-01T09:05:34Z
58718,SVB,Credit Card,250.98,usd,BOSE,office,2012-01-01T18:37:10Z
933309,SVB,Debit Card,14.65,usd,BRAINWASH,food personal,2012-01-01T17:39:30Z
652985,Chase,Debit Card,5.48,usd,"STARBUCKS, INC.",food drink personal,2012-01-01T10:06:57Z
192610,Chase,Credit Card,184.8,usd,BOSE,office,2012-01-01T22:59:14Z
336596,Chase,Credit Card,125.77,usd,P.C.H.,drink,2012-01-01T02:44:45Z
172648,Wells Fargo,Debit Card,398.46,usd,RICKHOUSE,drink personal,2012-01-01T02:21:59Z
927277,Wells Fargo,Debit Card,231.0,usd,REI,clothing personal,2012-01-01T19:36:20Z
381654,Wells Fargo,Credit Card,1210.64,usd,CB2,furniture,2012-01-01T14:07:32Z
432418,Chase,Credit Card,214.12,usd,PATAGONIA,clothing personal,2012-01-01T18:24:08Z
532385,Chase,Credit Card,65.25,usd,BACKCOUNTRY.COM,clothing personal,2012-01-01T02:47:08Z
341647,SVB,Debit Card,7.23,usd,"STARBUCKS, INC.",food drink personal,2012-01-01T12:27:07Z
370326,Chase,Debit Card,121.39,usd,P.C.H.,drink,2012-01-01T08:07:11Z
545168,Chase,Debit Card,189.26,usd,PATAGONIA,clothing personal,2012-01-01T15:02:43Z
73674,Chase,Credit Card,126.62,usd,BACKCOUNTRY.COM,clothing personal,2012-01-01T22:09:52Z
492948,Wells Fargo,Credit Card,29.0,usd,P.C.H.,drink,2012-01-01T08:04:11Z
847413,SVB,Credit Card,181.74,usd,REI,clothing personal,2012-01-01T00:07:52Z
29861,Wells Fargo,Debit Card,176.66,usd,BOSE,office,2012-01-01T15:56:24Z
785658,Chase,Debit Card,3.72,usd,"STARBUCKS, INC.",food drink personal,2012-01-01T14:22:20Z
720622,Chase,Credit Card,2118.76,usd,CRATE AND BARREL,furniture,2012-01-01T07:17:10Z
124718,Wells Fargo,Wire Transfer,1194.73,usd,FATEMA OFFICE DESIGN SERVICES,contractor,2012-01-01T13:31:15Z
851440,SVB,Credit Card,1.77,usd,"STARBUCKS, INC.",food drink personal,2012-01-01T09:16:06Z
290376,Wells Fargo,Wire Transfer,3616.52,usd,FATEMA OFFICE DESIGN SERVICES,contractor,2012-01-01T07:11:56Z
47442,Chase,Credit Card,25.68,usd,BRAINWASH,food personal,2012-01-01T18:21:23Z
596269,Chase,Credit Card,223.79,usd,REI,clothing personal,2012-01-01T22:36:55Z
645267,Chase,Credit Card,6.01,usd,"STARBUCKS, INC.",food drink personal,2012-01-01T16:15:31Z
816351,SVB,Credit Card,237.84,usd,IRISH BANK,drink personal,2012-01-01T10:06:25Z
190638,SVB,Debit Card,15.37,usd,EXTREME PIZZA,food,2012-01-01T10:42:29Z
276803,SVB,Debit Card,55.88,usd,BACKCOUNTRY.COM,clothing personal,2012-01-01T09:24:39Z
942306,SVB,Credit Card,41.27,usd,BLOODHOUND,drink personal,2012-01-01T11:46:49Z
490025,Chase,Debit Card,1583.09,usd,CRATE AND BARREL,furniture,2012-01-01T04:11:01Z
541205,SVB,Credit Card,10.88,usd,BLOODHOUND,drink personal,2012-01-01T05:39:07Z
376218,Wells Fargo,Debit Card,24.11,usd,BLOODHOUND,drink,2012-01-01T04:48:40Z
638764,SVB,Credit Card,528.72,usd,CRATE AND BARREL,furniture,2012-01-01T19:52:53Z
203789,Chase,Credit Card,13.53,usd,BRAINWASH,food,2012-01-01T05:30:01Z
293304,SVB,Debit Card,1464.97,usd,CB2,furniture,2012-01-01T03:18:09Z
168330,Wells Fargo,Wire Transfer,3553.32,usd,FATEMA OFFICE DESIGN SERVICES,contractor,2012-01-01T17:01:55Z
717524,Wells Fargo,Credit Card,167.29,usd,REI,clothing personal,2012-01-01T14:52:25Z
781834,Chase,Debit Card,381.48,usd,RICKHOUSE,drink,2012-01-01T16:40:20Z
564849,Wells Fargo,Debit Card,377.39,usd,IRISH BANK,drink personal,2012-01-01T00:14:22Z
530527,Wells Fargo,Credit Card,64.59,usd,BLOODHOUND,drink,2012-01-01T04:30:28Z
673793,Chase,Credit Card,251.4,usd,PATAGONIA,clothing personal,2012-01-01T03:04:28Z
227065,SVB,Credit Card,1167.72,usd,CB2,furniture,2012-01-01T04:31:39Z
554167,Chase,Credit Card,2632.38,usd,CRATE AND BARREL,furniture,2012-01-01T00:39:42Z
215912,Wells Fargo,Debit Card,287.58,usd,BOSE,office,2012-01-01T01:18:33Z
751399,SVB,Debit Card,36.33,usd,EXTREME PIZZA,food personal,2012-01-01T08:22:57Z
568873,Wells Fargo,Wire Transfer,1298.87,usd,AMAZON.COM,office,2012-01-01T07:36:22Z
685150,Wells Fargo,Credit Card,1600.23,usd,CRATE AND BARREL,furniture,2012-01-01T09:21:38Z
358732,Wells Fargo,Debit Card,1086.31,usd,CB2,furniture,2012-01-01T02:00:43Z
668868,SVB,Credit Card,32.44,usd,EXTREME PIZZA,food,2012-01-01T14:34:44Z
287233,SVB,Credit Card,28.39,usd,EXTREME PIZZA,food,2012-01-01T18:21:08Z
146527,SVB,Debit Card,479.63,usd,AMAZON.COM,office,2012-01-01T15:02:53Z
391373,Chase,Credit Card,2937.16,usd,CRATE AND BARREL,furniture,2012-01-01T07:41:48Z
546457,Chase,Credit Card,67.46,usd,BLOODHOUND,drink,2012-01-01T12:58:29Z
577346,Wells Fargo,Credit Card,614.76,usd,CB2,furniture,2012-01-01T00:16:45Z
182956,SVB,Debit Card,71.79,usd,IRISH BANK,drink personal,2012-01-01T22:33:31Z
252740,Chase,Wire Transfer,1830.02,usd,VACLAV DESIGN SERVICES,contractor,2012-01-01T03:30:38Z
982633,Chase,Credit Card,1394.96,usd,CB2,furniture,2012-01-01T22:52:02Z
83602,Wells Fargo,Credit Card,1421.55,usd,CB2,furniture,2012-01-01T12:29:02Z
771471,Wells Fargo,Credit Card,2521.35,usd,CRATE AND BARREL,furniture,2012-01-01T21:04:34Z
36196,Wells Fargo,Debit Card,28.73,usd,EXTREME PIZZA,food personal,2012-01-01T05:29:06Z
